Date,Event,Title,Gate,Buyrate
11/16/2024,UFC 309,Jones vs. Miocic," $16,700,000 ",NULL
3/4/2023,UFC 285,Jones vs. Gane," $12,150,000 ",NULL
7/6/2019,UFC 239,Jones vs. Santos," $6,100,000 ",NULL
3/2/2019,UFC 235,Jones vs. Smith," $4,000,000 ",NULL
12/10/2011,UFC 140,Jones vs. Machida," $3,900,000 ",480000
1/3/2015,UFC 182,Jones vs. Cormier," $3,700,000 ",800000
2/8/2020,UFC 247,Jones vs. Reyes," $3,550,000 ",NULL
4/27/2013,UFC 159,Jones vs. Sonnen," $2,700,000 ",530000
7/29/2017,UFC 214,Cormier vs. Jones 2," $2,450,000 ",860000
4/26/2014,UFC 172,Jones vs. Teixeira," $2,300,000 ",350000
4/23/2016,UFC 197,Jones vs. Saint Preux," $2,300,000 ",322000
4/21/2012,UFC 145,Jones vs. Evans," $2,200,000 ",NULL
3/19/2011,UFC 128,Shogun vs Jones," $2,140,000 ",490000
9/24/2011,UFC 135,Jones vs. Rampage," $2,100,000 ",520000
12/29/2018,UFC 232,Jones vs. Gustafsson 2," $2,100,000 ",NULL
9/22/2012,UFC 152,Jones vs. Belfort," $1,921,000 ",450000
9/21/2013,UFC 165,Jones vs. Gustafsson," $1,900,000 ",310000
3/21/2010,UFC Live,Vera vs. Jones," $570,000 ",NULL
4/13/2013,The Ultimate Fighters,Team Jones vs. Team Sonnen Finale," $570,000 ",NULL
8/1/2010,UFC Live,Jones vs. Matyushenko," $490,000 ",NULL
